Country Name,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Guyana,1789.496,1800.497,1404.461,1246.78,1404.461,1419.129,1045.095,1309.119,1404.461,1184.441,1133.103,1114.768,1045.095,1045.095,1386.126,1463.133,1518.138,1591.478,1657.484,1679.486,1609.813,1595.145,1580.477,1565.809,1628.148,1437.464,1290.784,1562.142,1558.475,1565.809,1719.823,1782.162,1994.848,1936.176,2009.516
"Hong Kong SAR, China",16662.848,18690.699,19702.791,21015.577,22346.698,23014.092,25698.336,28272.57,29482.68,30348.092,27333.818,28639.27,33094.675,34964.845,31283.177,31470.194,29123.314,30703.791,39101.221,42716.883,40439.676,37957.117,39636.603,43358.608,41708.458,43871.988,42056.823,43721.641,43978.331,42148.498,40678.031,43794.981,43424.614,45005.091,46222.535
Honduras,2057.187,1822.499,1763.827,2002.182,1987.514,1906.84,1848.168,2174.531,2504.561,2728.248,2592.569,2698.912,3076.613,2849.259,3336.97,3879.686,3960.36,4158.378,4649.756,4741.431,5031.124,5713.186,6090.887,6769.282,7367.003,7554.02,7007.637,8778.798,8672.455,7873.049,7975.725,8954.814,8984.15,9064.824,9471.861
Haiti,751.735,766.403,825.075,894.748,913.083,942.419,843.41,913.083,1023.093,1037.761,993.757,997.424,909.416,663.727,300.694,902.082,1034.094,1367.791,1232.112,1331.121,1367.791,1569.476,1826.166,1734.491,1987.514,2075.522,2112.192,2390.884,2398.218,2269.873,2126.86,2218.535,2313.877,2405.552,2860.26
Hungary,86860.229,86618.207,86871.23,89137.436,90853.592,86104.827,83537.927,84436.342,78264.781,76090.25,69647.331,66585.386,60395.49,61917.295,58884.686,60369.821,62063.975,60886.868,59163.378,58800.345,55826.408,56977.846,56064.763,59053.368,57458.223,58019.274,57388.55,56035.427,54843.652,48510.743,50223.232,47843.349,44583.386,42141.164,42086.159
Indonesia,94784.616,100160.438,105407.915,104956.874,112184.531,121245.688,121740.733,123372.548,132162.347,130966.905,149565.929,179730.671,202576.081,218600.871,221413.46,224941.114,253290.691,278658.997,214200.471,241988.997,263418.945,294907.474,306737.216,316792.13,337635.358,341991.754,345119.705,375544.804,416560.199,446409.579,428760.308,603665.207,637078.911,490226.562,464176.194
India,314016.211,338838.134,349637.449,378669.088,388118.947,426673.785,457571.927,488481.07,527563.956,579008.299,619154.615,658189.83,699087.881,723697.118,764730.848,811562.105,882324.204,917685.085,936221.77,995766.516,1031853.463,1041152.975,1054258.833,1099597.621,1154320.262,1222563.132,1303717.509,1407607.286,1568379.567,1738645.711,1719690.988,1841776.419,2018503.817,2034752.294,2238377.137
Ireland,26255.72,26039.367,25547.989,25709.337,25529.654,26725.096,28525.593,30197.745,29842.046,30018.062,31217.171,31400.521,31033.821,31261.175,32672.97,32969.997,34906.173,36416.977,38554.838,40153.65,41228.081,44029.669,43413.613,42687.547,43761.978,43538.291,43160.59,44638.391,42999.242,40314.998,40054.641,35632.239,35591.902,34854.835,34066.43
"Iran, Islamic Rep.",120900.99,112899.596,138007.545,149785.949,150658.695,160768.614,148399.823,159573.172,176115.009,191204.714,210463.798,227401.671,228468.768,237214.563,265230.443,272942.144,276059.094,269293.479,308508.377,382339.755,372237.17,398437.885,401760.187,418437.703,447036.636,468807.615,509338.966,519324.207,541582.897,554278.051,573031.089,589055.879,611758.276,619778.005,649480.705
Iraq,45558.808,32122.92,30623.117,38749.189,40204.988,44675.061,47751.674,52881.807,67927.508,73251.992,47693.002,45643.149,59112.04,63362.093,71334.151,74348.425,69500.651,68308.876,72371.912,72283.904,72445.252,85342.091,87259.932,91117.616,114084.037,113522.986,98770.645,62155.65,93149.134,104546.17,112195.532,134384.549,152723.216,165506.378,168443.645
